Name;Region;Address;Proposal
noashh;AR;RDY9LJZTEJ9FsvugUuD69gceA98uqan5XL;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/noashh
patchkez;SH;RAnvcMmra8sUqjQoUZ4kGGPypdaHhfvnkY;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/patchkez
patchkez;EU;RGLtxHZfbjktMcTsRnTt5gHzJG3guwU1w4;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/patchkez
pbca26;NA;RL2uXQLUSoCJQ7dMgJA9pWNgKiN6iMCn6J;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/pbca26
peer2cloud;SH;RPRN6iRfchVciLbrTHFZ6EZ67TAiWE2wbf;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/peer2cloud
peer2cloud;AR;RDRKrwZ9GRNHqU2jkefhzFHwPbHgADZA1f;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/peer2cloud
polycryptoblog;SH;RVT59tWiDcoictAidpoPKbSGw9j2XSiEhN;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/polycryptoblog
polycryptoblog;AR;RQraGEYih94XREUZyvLGmxw1J7dwaNsd8D;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/polycryptoblog
pondsea;SH;RCu5EdDcnrM4LtuBPNZG8iyu2MF2mWscHu ;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/pondsea
pondsea;EU;RDsZf7wcMvST9RoKpY8EU7RJ8i3rMRt5Uo ;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/pondsea
popcornbag;EU;RJ1bfNV46mBNaRLmz2uX9oracLCRLrrsUY;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/popcornbag
popcornbag;SH;RWwXykQWkPmhwJVjUKnbQbE8ehY18QS9xt;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/popcornbag
ptyx;AR;R9yoUwwV9ioVXNPP1xottGowhdBMSSqCza;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/ptyx
ptyx;EU;RVCDLqudfRZHcBYX9soKVfkNZQJgfcEBLa;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/ptyx
